"","sample_1","sample_2","sample_3","sample_4","sample_5"
"ENSG00000154134",187,133,201,94,220
"ENSG00000154143",0,0,1,0,0
"ENSG00000154144",620,809,816,532,712
"ENSG00000154146",1351,3752,5579,1785,2883
"ENSG00000154153",260,199,265,91,248
"ENSG00000154162",0,0,0,0,0
"ENSG00000154165",24,43,12,18,32
"ENSG00000154174",448,558,471,344,377
"ENSG00000154175",1,1,2,1,2
"ENSG00000154188",25,30,67,11,39
"ENSG00000154217",772,819,996,606,844
"ENSG00000154222",721,1081,813,666,768
"ENSG00000154227",3,22,13,2,8
"ENSG00000154229",447,488,501,276,444
"ENSG00000154237",186,393,290,257,240
"ENSG00000154240",4,1,1,2,3
"ENSG00000154252",0,0,0,0,0
"ENSG00000154258",1,5,2,4,2
"ENSG00000154262",4,8,3,1,4
"ENSG00000154263",9,12,13,6,15
"ENSG00000154265",198,199,200,120,114
"ENSG00000154269",24,15,23,8,20
"ENSG00000154274",6,10,13,1,10
"ENSG00000154277",3,4,0,0,1
"ENSG00000154305",647,861,812,607,701
"ENSG00000154309",38,61,54,40,43
"ENSG00000154310",266,301,323,211,256
"ENSG00000154316",2,4,0,6,7
"ENSG00000154319",39,8,44,15,12
"ENSG00000154328",193,143,154,134,167
"ENSG00000154330",4,19,69,14,10
"ENSG00000154342",0,0,0,0,0
"ENSG00000154358",807,780,604,416,1288
"ENSG00000154359",114,197,171,99,116
"ENSG00000154370",618,615,635,515,664
"ENSG00000154380",4,3,2,5,4
"ENSG00000154415",0,0,0,0,0
"ENSG00000154429",247,326,344,124,149
"ENSG00000154438",0,0,0,0,0
"ENSG00000154447",33,54,62,17,27
"ENSG00000154451",1143,1506,1460,2156,1896
"ENSG00000154473",1224,994,1093,772,887
"ENSG00000154478",0,0,0,0,0
"ENSG00000154479",0,0,1,0,1
"ENSG00000154485",0,1,1,1,2
"ENSG00000154493",1,0,0,0,0
"ENSG00000154511",146,122,140,102,131
"ENSG00000154518",1292,1262,1119,956,852
"ENSG00000154529",1,4,1,0,0
"ENSG00000154537",0,0,0,0,0
"ENSG00000154545",0,0,0,0,2
"ENSG00000154548",2,5,4,2,5
"ENSG00000154553",0,0,0,2,1
"ENSG00000154556",3,2,11,4,1
"ENSG00000154582",180,147,185,123,100
"ENSG00000154589",137,176,160,48,95
"ENSG00000154608",3,1,0,0,3
"ENSG00000154611",6,5,2,2,7
"ENSG00000154620",0,30,44,22,0
"ENSG00000154639",1,1,2,0,2
"ENSG00000154640",58,43,45,29,43
"ENSG00000154642",242,341,348,159,192
"ENSG00000154645",3,3,1,0,2
"ENSG00000154646",0,0,0,1,0
"ENSG00000154654",1,3,0,0,0
"ENSG00000154655",14,11,19,11,8
"ENSG00000154678",0,0,0,0,0
"ENSG00000154710",25,17,16,13,24
"ENSG00000154719",146,123,99,96,78
"ENSG00000154721",15,11,9,4,7
"ENSG00000154723",169,133,179,94,94
"ENSG00000154727",276,405,415,200,264
"ENSG00000154734",37,28,51,21,29
"ENSG00000154736",10,35,17,6,3
"ENSG00000154743",84,87,71,74,52
"ENSG00000154760",308,380,366,288,348
"ENSG00000154764",74,51,44,35,59
"ENSG00000154767",744,1235,925,620,861
"ENSG00000154768",1,5,2,1,2
"ENSG00000154781",403,558,590,404,475
"ENSG00000154783",0,3,1,3,3
"ENSG00000154803",518,658,960,488,647
"ENSG00000154813",229,352,326,241,258
"ENSG00000154814",540,408,474,272,382
"ENSG00000154822",692,1001,943,635,815
"ENSG00000154832",1494,1439,1536,1211,1596
"ENSG00000154839",3,4,4,4,0
"ENSG00000154845",1316,2478,1982,1084,1206
"ENSG00000154856",14,28,40,13,10
"ENSG00000154864",0,0,0,0,0
"ENSG00000154874",2,4,12,2,6
"ENSG00000154889",717,1555,1106,623,1189
"ENSG00000154898",2,3,0,0,1
"ENSG00000154914",8,4,24,5,10
"ENSG00000154917",40,44,65,25,36
"ENSG00000154920",14,13,10,12,4
"ENSG00000154928",180,316,298,137,216
"ENSG00000154930",1245,1449,1373,1083,1260
"ENSG00000154945",204,310,282,184,201
"ENSG00000154957",251,396,311,260,318
"ENSG00000154975",0,0,0,0,0
"ENSG00000154978",744,890,992,700,800
"ENSG00000154997",0,0,0,0,0
"ENSG00000155008",4,5,8,10,7
"ENSG00000155011",1,0,2,14,1
"ENSG00000155016",89,126,119,93,73
"ENSG00000155026",2,3,5,4,0
"ENSG00000155034",68,96,100,69,88
"ENSG00000155052",2,0,0,0,0
"ENSG00000155066",8,6,8,1,7
"ENSG00000155070",0,0,2,3,1
"ENSG00000155085",65,60,66,49,47
"ENSG00000155087",0,0,0,0,0
"ENSG00000155090",428,630,555,358,362
"ENSG00000155093",179,144,409,107,96
"ENSG00000155096",778,1201,1107,602,593
"ENSG00000155097",510,864,748,520,611
"ENSG00000155099",333,617,614,256,412
"ENSG00000155100",75,94,94,44,41
"ENSG00000155111",413,659,627,320,379
"ENSG00000155115",209,241,227,152,172
"ENSG00000155130",1152,2376,1398,729,1012
"ENSG00000155158",390,269,358,111,298
"ENSG00000155189",182,161,167,113,133
"ENSG00000155229",1182,1403,1283,1179,1346
"ENSG00000155252",270,263,290,258,187
"ENSG00000155254",225,446,310,234,178
"ENSG00000155256",1300,1459,1337,1000,1403
"ENSG00000155265",295,169,212,239,311
"ENSG00000155269",0,0,0,0,0
"ENSG00000155275",132,151,136,101,110
"ENSG00000155282",0,1,0,0,0
"ENSG00000155287",683,751,756,684,832
"ENSG00000155304",156,229,260,100,139
"ENSG00000155307",290,435,441,186,291
"ENSG00000155313",463,743,693,392,579
"ENSG00000155324",45,35,62,27,59
"ENSG00000155329",166,123,148,63,70
"ENSG00000155330",63,67,64,32,55
"ENSG00000155363",744,832,807,679,1050
"ENSG00000155366",514,431,544,377,394
"ENSG00000155367",35,21,38,21,24
"ENSG00000155368",432,253,363,240,191
"ENSG00000155380",141,130,99,106,112
"ENSG00000155393",387,448,295,271,203
"ENSG00000155428",12,10,10,5,17
"ENSG00000155438",231,262,262,188,162
"ENSG00000155463",1966,2630,2203,1935,1902
"ENSG00000155465",1526,3723,2635,2162,1358
"ENSG00000155506",1227,1625,1350,1039,1151
"ENSG00000155508",1314,1574,1471,1004,1107
"ENSG00000155511",0,0,0,0,0
"ENSG00000155530",0,6,4,9,9
"ENSG00000155542",33,36,27,15,21
"ENSG00000155545",124,135,155,58,71
"ENSG00000155561",521,642,588,426,578
"ENSG00000155592",29,56,50,37,40
"ENSG00000155621",89,106,88,65,60
"ENSG00000155629",979,2309,2113,1111,1186
"ENSG00000155636",99,126,100,98,87
"ENSG00000155640",20,52,45,38,27
"ENSG00000155657",221,344,415,205,340
"ENSG00000155659",42,128,38,36,24
"ENSG00000155660",1070,1244,1106,919,901
"ENSG00000155666",79,110,127,94,121
"ENSG00000155714",2,1,2,2,2
"ENSG00000155719",1,0,4,0,0
"ENSG00000155729",193,294,203,152,180
"ENSG00000155744",530,1023,747,249,340
"ENSG00000155749",16,19,11,19,12
"ENSG00000155754",1,3,1,1,2
"ENSG00000155755",31,20,27,22,15
"ENSG00000155760",7,1,6,0,1
"ENSG00000155761",0,1,0,2,1
"ENSG00000155792",14,13,14,10,10
"ENSG00000155816",0,0,0,0,0
"ENSG00000155827",557,977,852,672,752
"ENSG00000155833",0,0,0,0,0
"ENSG00000155846",91,130,102,60,56
"ENSG00000155849",877,1329,1395,889,1107
"ENSG00000155850",117,191,154,87,103
"ENSG00000155858",92,114,81,75,61
"ENSG00000155868",72,105,87,78,64
"ENSG00000155875",0,0,0,0,0
"ENSG00000155876",649,798,661,543,626
"ENSG00000155886",0,0,0,0,1
"ENSG00000155890",0,0,0,0,0
"ENSG00000155893",202,214,245,72,129
"ENSG00000155897",0,0,0,0,0
"ENSG00000155903",754,801,858,406,507
"ENSG00000155906",96,99,60,69,80
"ENSG00000155918",0,0,0,0,0
"ENSG00000155926",3761,5902,6714,3845,5229
"ENSG00000155957",196,299,239,228,192
"ENSG00000155959",272,274,278,157,226
"ENSG00000155961",98,122,129,61,84
"ENSG00000155962",24,62,46,31,27
"ENSG00000155966",7,35,17,16,19
"ENSG00000155970",24,21,17,4,6
"ENSG00000155974",38,34,40,33,28
"ENSG00000155975",219,273,294,192,195
"ENSG00000155980",7,15,8,3,21
"ENSG00000155984",50,73,75,47,71
"ENSG00000156006",0,0,0,0,0
"ENSG00000156009",0,0,0,0,0
"ENSG00000156011",11,6,11,6,12
"ENSG00000156017",130,120,123,66,67
"ENSG00000156026",180,335,301,174,205
"ENSG00000156030",594,1132,870,540,622
"ENSG00000156042",14,25,27,16,18
"ENSG00000156049",5,3,0,1,2
"ENSG00000156050",32,46,39,26,28
"ENSG00000156052",758,1614,1378,611,673
"ENSG00000156076",0,0,0,0,0
"ENSG00000156096",0,0,1,0,0
"ENSG00000156097",9,11,6,7,4
"ENSG00000156103",0,0,0,0,0
"ENSG00000156110",287,353,287,192,169
"ENSG00000156113",7,6,4,0,1
"ENSG00000156127",283,237,206,166,218
"ENSG00000156136",540,510,543,262,345
"ENSG00000156140",0,0,0,0,0
"ENSG00000156162",80,91,67,54,53
"ENSG00000156170",106,64,64,53,68
"ENSG00000156171",641,733,648,544,554
"ENSG00000156172",12,27,31,10,8
"ENSG00000156194",3,7,0,2,3
"ENSG00000156206",13,7,55,3,12
"ENSG00000156218",0,0,0,0,0
"ENSG00000156219",0,0,1,0,0
"ENSG00000156222",0,0,0,0,0
"ENSG00000156232",359,335,359,221,303
"ENSG00000156234",1,0,0,0,1
"ENSG00000156239",120,115,103,83,106
"ENSG00000156253",108,97,96,80,53
"ENSG00000156256",412,491,480,301,336
"ENSG00000156261",1344,1752,1752,1026,1175
"ENSG00000156265",206,257,294,241,217
"ENSG00000156269",0,0,0,0,0
"ENSG00000156273",1093,3203,2430,1073,1121
"ENSG00000156298",4,0,4,2,7
"ENSG00000156299",451,552,562,250,498
"ENSG00000156304",427,715,628,511,605
"ENSG00000156313",130,293,203,91,127
"ENSG00000156345",97,73,93,59,78
"ENSG00000156374",44,34,38,20,18
"ENSG00000156381",21,35,45,19,15
"ENSG00000156384",60,61,45,52,47
"ENSG00000156395",11,7,22,3,8
"ENSG00000156398",116,144,133,95,161
"ENSG00000156411",405,299,316,193,224
"ENSG00000156413",1,2,0,0,0
"ENSG00000156414",34,114,48,43,72
"ENSG00000156427",2,1,0,0,1
"ENSG00000156453",23,1,63,26,12
"ENSG00000156463",2,1,0,8,2
"ENSG00000156466",0,0,0,0,0
"ENSG00000156467",494,266,301,250,220
"ENSG00000156469",141,144,131,101,104
"ENSG00000156471",1288,1471,1254,1099,1083
"ENSG00000156475",65,59,73,98,61
"ENSG00000156482",3884,2288,2621,1596,2073
"ENSG00000156486",0,0,0,0,0
"ENSG00000156500",43,63,68,41,44
"ENSG00000156502",240,280,288,249,260
"ENSG00000156504",528,536,589,306,417
"ENSG00000156508",31224,26949,24892,17992,21091
"ENSG00000156509",0,0,0,0,1
"ENSG00000156510",110,132,60,61,100
"ENSG00000156515",1718,2716,2382,1822,2087
"ENSG00000156521",746,529,661,458,675
"ENSG00000156531",200,190,224,110,126
"ENSG00000156535",6,21,9,4,5
"ENSG00000156564",9,3,13,7,7
"ENSG00000156574",0,5,4,3,3
"ENSG00000156575",0,0,0,0,0
"ENSG00000156587",1607,2097,2369,1696,2087
"ENSG00000156599",1009,1632,1378,1048,1214
"ENSG00000156603",127,103,118,84,107
"ENSG00000156639",1056,1853,1649,1003,1202
"ENSG00000156642",939,1336,1400,670,831
"ENSG00000156650",206,273,249,207,235
"ENSG00000156671",347,562,390,181,258
"ENSG00000156675",3094,7085,5605,3041,3851
"ENSG00000156687",0,0,0,0,0
"ENSG00000156689",1,0,1,2,0
"ENSG00000156697",218,337,286,273,245
"ENSG00000156709",325,398,345,331,333
"ENSG00000156711",466,825,633,428,748
"ENSG00000156735",145,217,236,137,114
"ENSG00000156738",2018,1338,1404,1548,1888
"ENSG00000156755",1,1,3,0,0
"ENSG00000156787",175,148,149,110,114
"ENSG00000156795",31,43,33,32,29
"ENSG00000156802",115,114,144,72,91
"ENSG00000156804",286,296,244,175,346
"ENSG00000156831",87,74,60,49,44
"ENSG00000156853",164,249,197,146,206
"ENSG00000156858",1289,1490,1327,1007,1529
"ENSG00000156860",2137,3110,2863,1861,2903
"ENSG00000156869",14,24,20,11,15
"ENSG00000156873",734,967,875,751,872
"ENSG00000156875",724,968,941,518,580
"ENSG00000156876",45,34,38,35,39
"ENSG00000156885",0,0,0,0,1
"ENSG00000156886",6,32,18,17,58
"ENSG00000156920",0,0,0,0,0
"ENSG00000156928",164,154,132,93,124
"ENSG00000156931",637,1332,1039,727,1039
"ENSG00000156958",82,96,90,68,62
"ENSG00000156959",0,0,0,0,0
"ENSG00000156966",38,34,78,32,43
"ENSG00000156968",0,4,2,1,0
"ENSG00000156970",5,10,9,3,9
"ENSG00000156973",196,229,238,195,207
"ENSG00000156976",3958,3257,3523,1855,2187
"ENSG00000156983",459,812,735,576,598
"ENSG00000156990",434,419,368,353,428
"ENSG00000157005",0,0,0,0,0
"ENSG00000157014",581,713,639,507,622
"ENSG00000157017",103,232,154,112,114
"ENSG00000157020",899,1334,1190,963,945
"ENSG00000157021",0,1,0,0,0
"ENSG00000157036",111,126,97,76,121
"ENSG00000157045",194,255,251,194,223
"ENSG00000157060",0,0,0,0,0
"ENSG00000157064",2,7,5,1,4
"ENSG00000157077",25,44,28,34,25
"ENSG00000157087",2,2,1,1,4
"ENSG00000157093",0,0,0,0,0
"ENSG00000157103",0,0,0,0,0
"ENSG00000157106",1316,1860,1839,1080,1362
"ENSG00000157107",234,390,353,134,190
"ENSG00000157110",21,43,39,26,45
"ENSG00000157111",12,5,6,4,6
"ENSG00000157150",0,0,0,0,0
"ENSG00000157152",7,12,4,9,9
"ENSG00000157168",50,79,49,44,54
"ENSG00000157181",102,152,144,93,91
"ENSG00000157184",94,218,144,103,114
"ENSG00000157191",2329,2193,2268,2015,2197
"ENSG00000157193",66,70,63,61,69
"ENSG00000157211",0,0,0,0,1
"ENSG00000157212",104,145,154,89,115
"ENSG00000157214",0,0,0,0,1
"ENSG00000157216",689,582,690,571,569
"ENSG00000157224",17,11,11,4,5
"ENSG00000157227",41,104,26,42,18
"ENSG00000157240",68,92,116,76,48
"ENSG00000157259",289,410,424,241,279
"ENSG00000157303",992,777,821,470,795
"ENSG00000157306",18,16,29,17,23
"ENSG00000157315",4,8,3,6,8
"ENSG00000157322",0,5,7,0,20
"ENSG00000157326",92,63,102,80,73
"ENSG00000157330",0,0,0,0,0
"ENSG00000157335",4,5,1,2,1
"ENSG00000157343",26,21,19,11,26
"ENSG00000157349",93,138,111,88,94
"ENSG00000157350",1086,2001,1624,886,1352
"ENSG00000157353",477,526,496,373,595
"ENSG00000157358",0,0,0,0,0
"ENSG00000157368",2,10,6,4,1
"ENSG00000157379",503,550,487,489,534
"ENSG00000157388",7,18,10,13,7
"ENSG00000157399",2,0,0,0,0
"ENSG00000157404",36,52,46,47,38
"ENSG00000157423",0,0,0,0,0
"ENSG00000157426",141,162,157,89,119
"ENSG00000157429",23,26,25,21,22
"ENSG00000157445",96,109,155,100,66
"ENSG00000157450",433,832,712,354,424
"ENSG00000157456",12,9,14,9,8
"ENSG00000157470",9,8,16,5,2
"ENSG00000157483",104,129,129,155,107
"ENSG00000157500",289,480,376,324,261
"ENSG00000157510",2,6,0,1,1
"ENSG00000157514",15717,16541,21833,8249,14619
"ENSG00000157538",830,1246,1098,877,864
"ENSG00000157540",994,1407,1343,744,872
"ENSG00000157542",0,3,0,0,0
"ENSG00000157551",1275,4955,2780,1821,2273
"ENSG00000157554",3,8,14,4,6
"ENSG00000157557",697,1284,897,491,550
"ENSG00000157570",428,406,358,308,400
"ENSG00000157578",7,6,17,6,10
"ENSG00000157593",410,426,439,350,398
"ENSG00000157600",1166,4264,3682,1270,1337
"ENSG00000157601",1142,1443,1185,907,2103
"ENSG00000157613",0,1,1,1,0
"ENSG00000157617",96,201,119,99,131
"ENSG00000157625",244,382,375,180,239
"ENSG00000157637",2257,2748,2448,1938,2379
"ENSG00000157653",8,9,4,6,3
"ENSG00000157657",35,46,58,33,20
"ENSG00000157680",0,0,0,0,0
"ENSG00000157693",276,477,420,313,403
"ENSG00000157703",0,0,2,0,0
"ENSG00000157734",273,172,160,219,267
"ENSG00000157741",292,396,387,207,233
"ENSG00000157764",321,466,445,273,338
"ENSG00000157765",1,0,0,0,0
"ENSG00000157766",1,0,2,2,3
"ENSG00000157778",264,196,200,147,201
"ENSG00000157782",4,1,0,0,5
"ENSG00000157796",119,166,155,120,135
"ENSG00000157800",221,416,303,140,254
"ENSG00000157823",212,467,339,329,322
"ENSG00000157827",14,42,65,28,43
"ENSG00000157828",0,2,10,2,0
"ENSG00000157833",55,41,51,45,42
"ENSG00000157837",643,715,682,541,546
"ENSG00000157851",1,0,0,0,0
"ENSG00000157856",1,7,5,4,11
"ENSG00000157869",179,157,144,90,110
"ENSG00000157870",339,402,327,317,287
"ENSG00000157873",4303,4744,4798,3362,4964
"ENSG00000157881",642,801,761,514,757
"ENSG00000157890",10,21,18,4,24
"ENSG00000157895",148,163,145,140,166
"ENSG00000157911",69,77,84,65,72
"ENSG00000157916",1816,2051,1996,1520,2003
"ENSG00000157927",0,2,1,0,2
"ENSG00000157933",1446,1544,1412,794,1513
"ENSG00000157954",1558,2019,1944,1474,1761
"ENSG00000157978",4536,4171,3157,2707,5244
"ENSG00000157985",56,47,60,44,45
"ENSG00000157992",50,36,50,47,60
"ENSG00000157999",5,8,5,3,2
"ENSG00000158006",353,478,490,354,327
"ENSG00000158008",1,4,0,0,2
"ENSG00000158014",1,1,0,0,1
"ENSG00000158019",369,468,405,323,343
"ENSG00000158022",2,0,0,0,0
"ENSG00000158023",8,10,15,10,13
"ENSG00000158042",257,196,227,151,174
"ENSG00000158050",604,248,474,273,403
"ENSG00000158055",0,2,0,0,0
"ENSG00000158062",2181,3532,2734,2573,2209
"ENSG00000158077",0,0,0,0,0
"ENSG00000158079",43,40,46,31,30
"ENSG00000158089",55,120,78,26,29
"ENSG00000158092",237,279,352,205,221
"ENSG00000158104",2,13,7,6,6
"ENSG00000158106",459,365,327,165,603
"ENSG00000158109",1128,1516,1526,1046,1192
"ENSG00000158113",17,0,25,6,11
"ENSG00000158122",104,85,112,75,73
"ENSG00000158125",0,0,0,0,0
"ENSG00000158156",1081,1589,1439,969,1362
"ENSG00000158158",161,221,241,155,167
"ENSG00000158161",472,864,530,328,427
"ENSG00000158163",1,9,6,16,1
"ENSG00000158164",0,1,1,0,0
"ENSG00000158169",68,61,95,46,89
"ENSG00000158186",64,45,43,32,48
"ENSG00000158195",3316,5811,5364,3829,4046
"ENSG00000158201",599,752,754,354,735
"ENSG00000158220",2,0,1,1,1
"ENSG00000158234",36,27,26,24,24
"ENSG00000158246",0,8,4,8,2
"ENSG00000158258",1,2,0,0,0
"ENSG00000158270",10,8,11,5,1
"ENSG00000158286",32,27,26,30,55
"ENSG00000158290",860,1294,1272,698,854
"ENSG00000158292",26,26,37,18,22
"ENSG00000158296",6,3,5,4,4
"ENSG00000158301",19,34,20,15,29
"ENSG00000158315",0,3,6,0,2
"ENSG00000158321",213,137,122,130,124
"ENSG00000158352",1,8,4,1,2
"ENSG00000158373",92,134,93,82,118
"ENSG00000158402",0,4,0,1,1
"ENSG00000158406",40,87,103,50,82
"ENSG00000158411",406,360,408,257,298
"ENSG00000158417",946,1096,916,789,840
"ENSG00000158423",4,8,9,6,10
"ENSG00000158427",24,17,25,4,16
"ENSG00000158428",7,20,11,6,11
"ENSG00000158435",718,816,748,661,749
"ENSG00000158445",0,11,3,3,5
"ENSG00000158457",234,406,479,217,433
"ENSG00000158458",1,0,1,0,0
"ENSG00000158467",233,280,286,190,241
"ENSG00000158470",880,2099,1469,733,899
"ENSG00000158473",583,1108,826,746,474
"ENSG00000158477",36,37,34,14,12
"ENSG00000158480",247,351,320,213,320
"ENSG00000158481",223,329,216,211,226
"ENSG00000158482",3,3,0,5,1
"ENSG00000158483",32,24,27,23,30
"ENSG00000158485",7,8,10,5,2
"ENSG00000158486",7,3,6,0,5
"ENSG00000158488",20,15,20,17,9
"ENSG00000158497",0,0,0,0,0
"ENSG00000158516",0,0,0,0,0
"ENSG00000158517",3682,5871,5617,3737,5913
"ENSG00000158525",10,120,49,16,20
"ENSG00000158526",448,429,446,401,390
"ENSG00000158528",3,3,3,2,4
"ENSG00000158545",751,1183,1050,723,953
"ENSG00000158552",1073,1085,1159,871,1224
"ENSG00000158555",554,458,499,737,532
"ENSG00000158560",0,1,4,3,4
"ENSG00000158571",3,4,5,5,9
"ENSG00000158578",1022,2503,4161,7334,4564
"ENSG00000158604",1069,1246,1139,844,1065
"ENSG00000158615",940,1429,1354,699,810
"ENSG00000158623",46,120,75,65,70
"ENSG00000158636",254,372,332,191,229
"ENSG00000158639",0,0,0,0,0
"ENSG00000158669",694,872,790,652,836
"ENSG00000158683",9,2,6,2,10
"ENSG00000158691",62,70,73,39,40
"ENSG00000158710",18257,32371,24563,15678,17761
"ENSG00000158711",702,875,793,463,642
"ENSG00000158714",45,76,72,55,60
"ENSG00000158715",269,150,221,131,181
"ENSG00000158716",283,187,233,133,234
"ENSG00000158717",2927,3979,3476,2527,4199
"ENSG00000158747",18,12,15,7,6
"ENSG00000158748",24,7,8,4,2
"ENSG00000158764",2,5,0,2,4
"ENSG00000158769",861,1576,1142,824,1193
"ENSG00000158773",2073,3051,2949,2056,2198
"ENSG00000158786",0,0,0,0,0
"ENSG00000158792",260,233,248,134,267
"ENSG00000158793",395,532,452,293,416
"ENSG00000158796",438,588,591,400,452
"ENSG00000158805",899,941,1046,794,1323
"ENSG00000158806",3,2,1,0,7
"ENSG00000158813",57,18,27,25,22
"ENSG00000158815",3,0,2,4,8
"ENSG00000158816",1,1,1,1,2
"ENSG00000158825",1447,3155,2348,1768,2903
"ENSG00000158828",312,586,613,440,441
"ENSG00000158850",772,733,774,694,775
"ENSG00000158856",1585,2659,3899,4073,1739
"ENSG00000158859",27,28,29,15,31
"ENSG00000158863",551,577,636,492,695
"ENSG00000158864",1228,1512,1457,1138,1149
"ENSG00000158865",3,1,2,23,1
"ENSG00000158869",3271,4903,3945,2921,3531
"ENSG00000158874",0,7,1,0,3
"ENSG00000158882",108,114,165,103,104
"ENSG00000158887",97,154,91,67,118
"ENSG00000158901",0,0,0,0,0
"ENSG00000158941",1367,1582,1342,1220,1412
"ENSG00000158955",0,1,0,0,3
"ENSG00000158966",39,50,31,13,41
"ENSG00000158985",2478,3523,3693,2068,2461
"ENSG00000158987",418,430,423,214,358
"ENSG00000159023",1788,3687,3364,2391,2944
"ENSG00000159055",63,60,53,47,53
"ENSG00000159063",215,222,229,172,242
"ENSG00000159069",2737,2525,2814,1796,3079
"ENSG00000159079",96,94,113,92,100
"ENSG00000159082",223,495,474,224,258
"ENSG00000159086",377,402,436,226,256
"ENSG00000159110",472,796,603,321,431
"ENSG00000159111",663,666,658,490,493
"ENSG00000159123",0,0,1,0,0
"ENSG00000159128",1509,2785,2001,1155,1567
"ENSG00000159131",444,665,596,488,488
"ENSG00000159140",2221,3704,3540,2008,2411
"ENSG00000159147",92,84,83,41,66
"ENSG00000159164",28,55,41,28,44
"ENSG00000159166",0,0,0,0,0
"ENSG00000159167",0,0,0,0,0
"ENSG00000159173",0,0,0,0,0
"ENSG00000159176",952,1155,837,898,877
"ENSG00000159184",0,0,0,0,0
"ENSG00000159186",0,0,0,0,0
"ENSG00000159189",9,6,15,5,6
"ENSG00000159197",2,0,1,0,0
"ENSG00000159199",497,455,432,392,380
"ENSG00000159200",118,167,217,104,80
"ENSG00000159202",1395,1612,1644,1179,1300
"ENSG00000159208",7,3,3,5,7
"ENSG00000159210",322,322,305,297,299
"ENSG00000159212",0,2,6,3,1
"ENSG00000159214",28,37,26,25,37
"ENSG00000159216",629,882,843,539,697
"ENSG00000159217",0,0,0,1,0
"ENSG00000159228",230,266,282,206,208
"ENSG00000159231",25,18,16,10,15
"ENSG00000159239",72,82,68,56,73
"ENSG00000159247",35,33,10,14,35
"ENSG00000159251",0,0,0,0,0
"ENSG00000159256",754,1019,903,481,565
"ENSG00000159259",35,32,37,33,36
"ENSG00000159261",0,0,0,0,0
"ENSG00000159263",5,7,5,4,6
"ENSG00000159267",97,120,108,123,118
"ENSG00000159289",0,0,0,1,0
"ENSG00000159307",7,8,2,6,1
"ENSG00000159314",4440,6876,6257,3601,6302
"ENSG00000159322",1737,2251,2094,1449,1638
"ENSG00000159335",200,229,244,266,199
"ENSG00000159337",0,0,0,0,0
"ENSG00000159339",1184,4210,3031,1943,4836
"ENSG00000159346",4302,6073,7486,7034,4876
"ENSG00000159348",665,930,878,618,721
"ENSG00000159352",1952,2652,2202,2016,1745
"ENSG00000159363",804,820,681,544,767
"ENSG00000159374",20,34,25,6,14
"ENSG00000159377",2501,2677,2590,1916,2114
"ENSG00000159387",0,0,0,0,1
"ENSG00000159388",3183,4725,3459,1968,2674
"ENSG00000159398",0,0,0,0,0
"ENSG00000159399",363,1100,960,476,674
"ENSG00000159403",267,39,27,21,40
"ENSG00000159409",2,3,1,3,3
"ENSG00000159423",71,60,73,82,45
"ENSG00000159433",115,181,117,165,176
"ENSG00000159445",545,484,348,417,487
"ENSG00000159450",1,1,0,0,0
"ENSG00000159459",205,334,313,196,200
"ENSG00000159461",759,1106,1004,866,650
"ENSG00000159479",319,406,345,287,262
"ENSG00000159495",0,1,1,0,0
"ENSG00000159496",361,677,496,342,620
"ENSG00000159527",0,0,0,0,0
"ENSG00000159556",34,52,29,13,37
"ENSG00000159579",314,505,407,291,331
"ENSG00000159588",73,110,122,73,134
"ENSG00000159592",1324,2242,2060,1211,1378
"ENSG00000159593",290,267,226,208,193
"ENSG00000159596",249,352,302,275,244
"ENSG00000159618",436,505,523,449,346
"ENSG00000159625",10,14,20,7,6
"ENSG00000159640",21,8,8,17,29
"ENSG00000159648",16,12,9,7,24
"ENSG00000159650",0,0,0,1,1
"ENSG00000159658",1438,2037,1798,1442,1477
"ENSG00000159674",1797,430,1669,1119,942
"ENSG00000159685",60,46,46,43,37
"ENSG00000159692",3055,2790,2962,2088,2925
"ENSG00000159708",14,8,17,8,5
"ENSG00000159712",0,0,0,0,0
"ENSG00000159713",188,229,110,145,90
"ENSG00000159714",15,28,22,23,15
"ENSG00000159720",3485,5889,5099,3806,4007
"ENSG00000159723",2,9,2,1,2
"ENSG00000159733",247,244,242,244,235
"ENSG00000159753",1384,1338,1319,1056,1808
"ENSG00000159761",65,82,62,50,68
"ENSG00000159763",0,0,0,0,0
"ENSG00000159784",12,23,32,34,20
"ENSG00000159788",186,232,196,132,237
"ENSG00000159792",569,625,596,464,516
"ENSG00000159840",8241,13170,9710,6881,10203
"ENSG00000159842",1579,3357,2705,2086,2614
"ENSG00000159860",3,6,3,4,1
"ENSG00000159871",0,3,2,3,2
"ENSG00000159873",454,419,548,290,301
"ENSG00000159882",124,163,186,93,122
"ENSG00000159884",48,30,18,10,41
"ENSG00000159885",23,21,36,14,26
"ENSG00000159899",68,46,51,41,74
"ENSG00000159904",12,11,5,8,23
"ENSG00000159905",0,3,3,2,0
"ENSG00000159915",16,10,13,10,18
"ENSG00000159917",72,68,79,33,69
"ENSG00000159921",174,244,227,141,167
"ENSG00000159958",102,49,62,49,76
"ENSG00000159961",0,0,0,0,0
"ENSG00000160007",339,572,491,373,398
"ENSG00000160013",157,313,214,217,291
"ENSG00000160014",3830,4507,5060,3100,4280
"ENSG00000160049",284,307,329,255,295
"ENSG00000160050",126,99,106,76,116
"ENSG00000160051",27,24,35,16,38
"ENSG00000160055",140,159,179,105,184
"ENSG00000160058",1099,1559,1373,1027,1233
"ENSG00000160062",5,3,2,2,3
